Effective Date,SOFR,Vasicek_Delta,Vasicek_SOFR_t-1,SOFR_t+1,EFFR,FFF,inflation exp,unemployment,,,,,
04/03/2018,1.83,0.03,1.8,1.74,1.69,98.32,1.99,4.1,,,,,
04/04/2018,1.74,-0.09,1.83,1.75,1.69,98.3175,2.04,4.1,,,,,
04/05/2018,1.75,0.01,1.74,1.75,1.69,98.3175,1.93,4.1,,,,,
04/06/2018,1.75,0,1.75,1.75,1.69,98.3175,2.01,4,,,,,
04/09/2018,1.75,0,1.75,1.75,1.69,98.3175,2.02,4,,,,,
04/10/2018,1.75,0,1.75,1.76,1.69,98.315,2,4,,,,,
04/11/2018,1.76,0.01,1.75,1.73,1.69,98.315,2.06,4,,,,,
04/12/2018,1.73,-0.03,1.76,1.72,1.69,98.315,2.05,4,,,,,
04/13/2018,1.72,-0.01,1.73,1.77,1.69,98.315,2.01,4,,,,,
04/16/2018,1.77,0.05,1.72,1.76,1.69,98.315,2.08,4,,,,,
04/17/2018,1.76,-0.01,1.77,1.75,1.69,98.315,2.01,4,,,,,
04/18/2018,1.75,-0.01,1.76,1.73,1.69,98.3125,2.04,4,,,,,
04/19/2018,1.73,-0.02,1.75,1.72,1.69,98.3125,2.12,4,,,,,
04/20/2018,1.72,-0.01,1.73,1.7,1.7,98.3125,2.1,4,,,,,
04/23/2018,1.7,-0.02,1.72,1.71,1.7,98.31,2.11,4,,,,,
04/24/2018,1.71,0.01,1.7,1.71,1.7,98.31,2.1,4,,,,,
04/25/2018,1.71,0,1.71,1.72,1.7,98.31,2.09,4,,,,,
04/26/2018,1.72,0.01,1.71,1.72,1.7,98.31,2.1,4,,,,,
04/27/2018,1.72,0,1.72,1.77,1.7,98.31,2.09,4,,,,,
04/30/2018,1.77,0.05,1.72,1.76,1.69,98.3075,2.1,4,,,,,
05/01/2018,1.76,-0.01,1.77,1.75,1.7,98.06,2.09,4,,,,,
05/02/2018,1.75,-0.01,1.76,1.74,1.7,98.06,2.09,4,,,,,
05/03/2018,1.74,-0.01,1.75,1.72,1.7,98.07,2.09,4,,,,,
05/04/2018,1.72,-0.02,1.74,1.71,1.7,98.06,2.09,4,,,,,
05/07/2018,1.71,-0.01,1.72,1.72,1.7,98.065,2.11,4,,,,,
05/08/2018,1.72,0.01,1.71,1.72,1.7,98.06,2.1,4,,,,,
05/09/2018,1.72,0,1.72,1.73,1.7,98.055,2.13,4,,,,,
05/10/2018,1.73,0.01,1.72,1.73,1.7,98.055,2.12,4,,,,,
05/11/2018,1.73,0,1.73,1.75,1.7,98.06,2.13,4,,,,,
05/14/2018,1.75,0.02,1.73,1.79,1.7,98.055,2.12,4,,,,,
05/15/2018,1.79,0.04,1.75,1.75,1.7,98.05,2.15,4,,,,,
05/16/2018,1.75,-0.04,1.79,1.74,1.7,98.055,2.16,4,,,,,
05/17/2018,1.74,-0.01,1.75,1.73,1.7,98.055,2.16,4,,,,,
05/18/2018,1.73,-0.01,1.74,1.69,1.7,98.055,2.14,4,,,,,
05/21/2018,1.69,-0.04,1.73,1.65,1.7,98.05,2.15,4,,,,,
05/22/2018,1.65,-0.04,1.69,1.67,1.7,98.05,2.13,4,,,,,
05/23/2018,1.67,0.02,1.65,1.74,1.7,98.085,2.12,4,,,,,
05/24/2018,1.74,0.07,1.67,1.73,1.7,98.085,2.11,4,,,,,
05/25/2018,1.73,-0.01,1.74,1.72,1.7,98.085,2.04,4,,,,,
05/29/2018,1.72,-0.01,1.73,1.72,1.7,98.125,1.98,4,,,,,
05/30/2018,1.72,0,1.72,1.81,1.7,98.1,2,4,,,,,
05/31/2018,1.81,0.09,1.72,1.81,1.7,98.095,2.03,4,,,,,
06/01/2018,1.81,0,1.81,1.8,1.7,98.085,2.06,3.8,,,,,
06/04/2018,1.8,-0.01,1.81,1.75,1.7,98.08,2.06,3.8,,,,,
06/05/2018,1.75,-0.05,1.8,1.73,1.7,98.08,2.05,3.8,,,,,
06/06/2018,1.73,-0.02,1.75,1.71,1.7,98.085,2.06,3.8,,,,,
06/07/2018,1.71,-0.02,1.73,1.69,1.7,98.085,2.08,3.8,,,,,
06/08/2018,1.69,-0.02,1.71,1.69,1.7,98.09,2.06,3.8,,,,,
06/11/2018,1.69,0,1.69,1.67,1.7,98.085,2.08,3.8,,,,,
06/12/2018,1.67,-0.02,1.69,1.71,1.7,98.085,2.07,3.8,,,,,
06/13/2018,1.71,0.04,1.67,1.9,1.7,98.09,2.09,3.8,,,,,
06/14/2018,1.9,0.19,1.71,1.91,1.9,98.085,2.07,3.8,,,,,
